,loc_tag,abundance
0,b3495,82534
1,b1823,20756
2,b3339,18554
3,b1779,10826
4,b0623,8479
5,b0440,8071
6,b1480,7964
7,b3303,7827
8,b0014,7739
9,b3986,7251
10,b4142,7090
11,b2185,6986
12,b3980,6977
13,b1237,6598
14,b2093,6165
15,b3236,5899
16,b2926,5473
17,b3783,5381
18,b4015,5355
19,b3908,5351
20,b3341,5229
21,b2551,5061
22,b2779,4875
23,b4000,4713
24,b0170,4429
25,b0755,4418
26,b1415,4380
27,b2665,4372
28,b4243,4367
29,b3460,4181
30,b3732,4179
31,b3315,4144
32,b3316,4012
33,b3928,3986
34,b0605,3973
35,b3298,3910
36,b1677,3837
37,b0407,3808
38,b3309,3714
39,b3310,3704
40,b3308,3659
41,b0957,3585
42,b3919,3506
43,b3065,3445
44,b4172,3419
45,b1094,3392
46,b4143,3365
47,b0436,3311
48,b0903,3290
49,b2096,3276
50,b1920,3252
51,b4203,3213
52,b2414,3194
53,b2925,3189
54,b3296,3180
55,b2150,3179
56,b3637,3159
57,b2417,3147
58,b0114,3137
59,b3320,3097
60,b0812,3074
61,b0023,3074
62,b4200,3003
63,b4202,2997
64,b3340,2991
65,b2095,2988
66,b1089,2969
67,b0811,2964
68,b1136,2962
69,b3649,2903
70,b3302,2860
71,b2609,2848
72,b3301,2809
73,b0115,2808
74,b3314,2805
75,b3321,2801
76,b0169,2791
77,b2310,2782
78,b3985,2752
79,b3231,2724
80,b3164,2716
81,b1712,2685
82,b3305,2673
83,b3609,2629
84,b4226,2621
85,b0474,2586
86,b2530,2509
87,b0116,2509
88,b3304,2483
89,b3734,2448
90,b1324,2432
91,b2518,2425
92,b3517,2413
93,b0911,2378
94,b3312,2345
95,b3984,2341
96,b3098,2320
97,b2094,2317
98,b0118,2300
99,b1716,2268
100,b3307,2257
101,b4244,2222
102,b2597,2216
103,b2606,2195
104,b0008,2149
105,b2696,2143
106,b3317,2131
107,b3294,2123
108,b3319,2107
109,b4177,2069
110,b0954,2064
111,b3306,2049
112,b0729,2046
113,b1288,2019
114,b3781,2005
115,b0884,1997
116,b3544,1982
117,b2007,1957
118,b3203,1956
119,b1719,1939
120,b4014,1933
121,b1004,1931
122,b3983,1919
123,b3510,1907
124,b0471,1905
125,b3774,1904
126,b2529,1879
127,b3708,1863
128,b0728,1848
129,b4245,1826
130,b3751,1799
131,b3987,1791
132,b4034,1789
133,b3230,1778
134,b3556,1757
135,b3185,1752
136,b0928,1751
137,b2266,1720
138,b2579,1719
139,b3165,1647
140,b1241,1643
141,b0525,1640
142,b1482,1640
143,b1654,1639
144,b3169,1629
145,b0197,1627
146,b1817,1620
147,b2942,1609
148,b3349,1573
149,b3636,1571
150,b4384,1569
151,b1003,1563
152,b0631,1553
153,b3703,1553
154,b2323,1551
155,b0415,1538
156,b2415,1535
157,b1676,1520
158,b3831,1513
159,b2029,1509
160,b0912,1500
161,b3829,1498
162,b1376,1490
163,b0437,1474
164,b0329,1463
165,b0607,1454
166,b3295,1451
167,b1923,1446
168,b2962,1442
169,b3313,1435
170,b1243,1425
171,b0907,1406
172,b0163,1344
173,b3186,1342
174,b0733,1325
175,b4255,1304
176,b2687,1291
177,b2217,1271
178,b2464,1265
179,b0032,1263
180,b3414,1240
181,b4069,1240
182,b0172,1194
183,b4045,1187
184,b1207,1183
185,b2498,1179
186,b0426,1179
187,b1093,1176
188,b0325,1175
189,b3403,1170
190,b1215,1168
191,b0178,1167
192,b3342,1158
193,b3031,1148
194,b3229,1147
195,b0655,1143
196,b1440,1125
197,b0889,1121
198,b2507,1115
199,b3942,1100
200,b3733,1099
201,b4025,1099
202,b2935,1098
203,b2416,1096
204,b0074,1092
205,b3297,1091
206,b2913,1084
207,b0720,1083
208,b3433,1076
209,b0684,1064
210,b3982,1061
211,b0180,1048
212,b3336,1048
213,b2614,1025
214,b1641,1018
215,b3180,1018
216,b3509,1016
217,b3735,1015
218,b1103,1011
219,b2080,988
220,b3251,985
221,b1857,982
222,b0166,981
223,b2296,978
224,b0237,973
225,b3619,962
226,b3764,960
227,b2476,944
228,b4401,944
229,b2042,943
230,b2592,938
231,b4207,935
232,b2309,935
233,b1251,930
234,b1718,926
235,b1174,918
236,b0929,909
237,b3588,893
238,b0095,892
239,b4383,884
240,b2480,873
241,b1732,872
242,b1550,870
243,b0863,866
244,b2508,865
245,b1092,864
246,b1850,858
247,b0893,858
248,b0071,857
249,b0222,857
250,b1219,852
251,b3736,851
252,b1444,846
253,b1656,841
254,b0683,840
255,b3213,840
256,b3311,839
257,b1685,838
258,b2097,836
259,b2890,834
260,b1739,834
261,b0727,829
262,b0838,827
263,b3357,826
264,b0726,822
265,b1854,807
266,b0782,804
267,b2425,803
268,b3916,802
269,b3836,800
270,b1866,799
271,b4139,791
272,b0004,790
273,b1539,789
274,b1175,787
275,b3988,787
276,b0897,786
277,b3936,785
278,b0134,784
279,b1333,781
280,b2234,779
281,b3731,776
282,b3870,775
283,b1702,773
284,b1761,770
285,b0185,767
286,b2297,752
287,b0753,752
288,b0880,745
289,b0643,728
290,b1635,726
291,b3938,722
292,b1431,722
293,b2914,716
294,b1667,716
295,b1123,714
296,b0391,711
297,b3181,707
298,b4376,707
299,b3713,705
300,b2215,699
301,b1604,695
302,b2153,687
303,b0578,687
304,b0953,683
305,b2036,682
306,b3024,681
307,b2463,676
308,b1864,676
309,b3384,672
310,b1905,672
311,b4051,672
312,b2809,670
313,b3956,668
314,b2465,660
315,b0724,659
316,b2523,658
317,b1260,654
318,b1611,653
319,b3167,649
320,b2091,645
321,b0220,642
322,b2669,642
323,b3318,640
324,b4411,639
325,b1836,638
326,b3610,633
327,b0723,629
328,b0688,627
329,b3405,627
330,b3931,625
331,b1131,624
332,b0642,621
333,b0156,619
334,b3453,615
335,b3176,613
336,b1091,612
337,b0854,608
338,b1831,607
339,b0133,606
340,b2697,604
341,b0492,601
342,b0930,599
343,b0439,591
344,b3912,591
345,b1818,588
346,b3858,588
347,b1710,588
348,b0161,586
349,b3212,576
350,b1852,576
351,b4147,575
352,b0053,570
353,b2294,570
354,b2521,564
355,b3926,564
356,b0145,563
357,b3233,563
358,b0073,563
359,b1493,562
360,b3192,560
361,b1967,559
362,b3728,558
363,b0740,558
364,b0965,556
365,b1258,555
366,b0758,552
367,b2908,550
368,b4391,550
369,b3172,546
370,b0026,546
371,b0814,542
372,b3871,540
373,b0194,540
374,b3687,534
375,b0126,534
376,b1304,532
377,b0072,531
378,b2171,528
379,b0932,527
380,b0882,525
381,b3699,523
382,b0382,519
383,b1108,517
384,b0168,517
385,b1882,516
386,b3029,515
387,b3559,514
388,b1809,512
389,b3347,508
390,b1717,506
391,b2699,505
392,b1516,504
393,b2514,503
394,b0453,501
395,b4059,499
396,b0754,499
397,b0357,499
398,b1051,498
399,b1778,497
400,b1064,495
401,b1426,490
402,b0767,488
403,b1261,487
404,b3725,486
405,b2585,484
406,b2531,484
407,b1002,483
408,b2114,482
409,b1740,481
410,b0680,481
411,b1783,478
412,b1257,476
413,b3458,474
414,b1273,473
415,b2922,472
416,b2231,472
417,b1200,472
418,b0565,470
419,b4258,469
420,b0860,469
421,b4381,468
422,b0473,465
423,b0819,465
424,b3612,465
425,b3168,463
426,b0171,459
427,b3386,458
428,b1614,455
429,b0002,455
430,b3847,454
431,b3178,454
432,b2553,454
433,b1062,442
434,b2898,439
435,b2976,438
436,b3929,436
437,b4227,434
438,b1406,432
439,b0756,428
440,b3299,424
441,b3401,423
442,b3253,422
443,b3041,421
444,b0888,420
445,b2959,418
446,b3190,418
447,b3748,416
448,b0523,413
449,b1714,412
450,b2143,410
451,b1765,409
452,b1276,409
453,b3860,408
454,b1452,408
455,b4214,408
456,b0078,408
457,b1642,405
458,b1130,404
459,b0435,402
460,b3706,402
461,b1881,401
462,b1236,399
463,b4234,397
464,b3640,397
465,b4144,395
466,b3671,393
467,b2904,393
468,b2525,392
469,b2187,389
470,b1651,388
471,b2287,388
472,b1095,388
473,b4174,386
474,b0871,386
475,b3775,386
476,b0098,385
477,b1819,383
478,b2286,381
479,b0763,378
480,b0243,378
481,b3866,378
482,b3727,377
483,b2316,376
484,b2000,375
485,b2557,374
486,b3560,374
487,b0033,373
488,b3204,372
489,b2989,372
490,b3067,372
491,b1886,370
492,b1887,369
493,b4219,368
494,b2661,368
495,b3554,368
496,b0741,366
497,b3600,366
498,b2763,366
499,b0660,366
500,b1847,365
501,b1613,365
502,b0434,363
503,b1743,363
504,b2288,362
505,b3001,362
506,b2400,362
507,b3408,361
508,b0891,361
509,b2617,360
510,b3426,358
511,b2131,356
512,b0389,355
513,b4006,354
514,b1619,354
515,b1197,353
516,b3228,352
517,b3287,351
518,b3042,350
519,b1101,348
520,b1449,347
521,b0179,346
522,b0438,346
523,b3737,344
524,b0031,344
525,b0526,343
526,b1901,343
527,b2283,343
528,b1612,342
529,b3279,342
530,b3553,341
531,b3156,339
532,b3363,338
533,b4107,337
534,b0528,335
535,b4216,333
536,b3498,332
537,b3209,332
538,b2104,331
539,b2019,330
540,b4035,329
541,b0104,329
542,b2103,329
543,b3846,327
544,b3359,325
545,b2903,324
546,b2891,323
547,b3995,322
548,b0028,322
549,b3506,322
550,b1071,322
551,b0598,322
552,b1109,317
553,b3429,314
554,b1446,314
555,b3729,314
556,b3183,313
557,b3362,312
558,b2569,312
559,b1221,311
560,b2909,311
561,b3012,310
562,b1602,310
563,b1541,309
564,b0801,309
565,b2513,306
566,b1638,302
567,b1267,302
568,b0800,301
569,b1827,300
570,b3234,299
571,b4354,299
572,b1723,298
573,b0386,298
574,b2020,297
575,b4153,296
576,b0839,296
577,b3941,295
578,b4135,295
579,b3863,294
580,b1919,294
581,b1479,294
582,b3255,293
583,b2977,293
584,b0441,293
585,b4057,292
586,b0866,292
587,b1517,292
588,b0015,290
589,b1637,289
590,b1067,289
591,b0154,289
592,b2133,288
593,b2285,288
594,b0212,287
595,b2477,285
596,b2662,284
597,b0606,284
598,b4252,283
599,b4037,283
600,b1908,282
601,b3611,281
602,b2262,281
603,b0722,280
604,b0918,280
605,b2281,279
606,b3512,279
607,b3830,278
608,b3472,278
609,b0917,278
610,b3845,277
611,b2515,276
