,loc_tag,abundance
0,Rv2031c,139000
1,Rv3418c,107511
2,Rv0440,36903
3,Rv3874,16583
4,Rv3914,13705
5,Rv0652,11194
6,Rv3354,10674
7,Rv2244,9529
8,Rv0350,8951
9,Rv0685,7066
10,Rv1860,6874
11,Rv2376c,6198
12,Rv1926c,4233
13,Rv1133c,4079
14,Rv0814c,3967
15,Rv3118,3967
16,Rv3648c,3927
17,Rv3028c,3894
18,Rv2145c,3863
19,Rv3763,3773
20,Rv0125,3522
21,Rv0934,3461
22,Rv2220,3412
23,Rv1886c,3241
24,Rv2744c,3210
25,Rv3875,3169
26,Rv0379,3138
27,Rv2780,3070
28,Rv0475,3027
29,Rv3248c,2937
30,Rv1827,2919
31,Rv3804c,2873
32,Rv1177,2666
33,Rv2111c,2630
34,Rv2986c,2624
35,Rv1636,2621
36,Rv1498A,2600
37,Rv3846,2600
38,Rv1388,2599
39,Rv3716c,2364
40,Rv3029c,2325
41,Rv3841,2271
42,Rv3678A,2196
43,Rv1980c,2174
44,Rv0683,2172
45,Rv2623,2158
46,Rv0009,2135
47,Rv3269,2133
48,Rv2632c,2122
49,Rv3457c,2113
50,Rv1932,2094
51,Rv1872c,2032
52,Rv2904c,2028
53,Rv1211,2018
54,Rv2215,1968
55,Rv2140c,1965
56,Rv0896,1936
57,Rv2159c,1930
58,Rv1308,1898
59,Rv1310,1882
60,Rv0278c,1878
61,Rv1392,1829
62,Rv1738,1824
63,Rv0733,1820
64,Rv2889c,1815
65,Rv0054,1807
66,Rv0363c,1800
67,Rv1411c,1736
68,Rv0703,1731
69,Rv3458c,1726
70,Rv0833,1701
71,Rv0053,1697
72,Rv1074c,1684
73,Rv3849,1674
74,Rv2396,1660
75,Rv3803c,1647
76,Rv1908c,1628
77,Rv3045,1620
78,Rv3628,1607
79,Rv2461c,1580
80,Rv3224,1574
81,Rv3461c,1560
82,Rv3417c,1533
83,Rv0129c,1518
84,Rv3597c,1505
85,Rv1098c,1493
86,Rv2882c,1486
87,Rv0708,1483
88,Rv1270c,1483
89,Rv3592,1465
90,Rv1479,1435
91,Rv2909c,1435
92,Rv1837c,1432
93,Rv3389c,1411
94,Rv2875,1410
95,Rv0351,1406
96,Rv0315,1401
97,Rv0432,1399
98,Rv2185c,1394
99,Rv1080c,1386
100,Rv0020c,1363
101,Rv1436,1346
102,Rv0719,1341
103,Rv0569,1328
104,Rv3208A,1322
105,Rv1732c,1319
106,Rv0831c,1308
107,Rv0716,1300
108,Rv3865,1284
109,Rv3312A,1280
110,Rv1448c,1276
111,Rv0951,1273
112,Rv3285,1271
113,Rv2442c,1268
114,Rv1818c,1241
115,Rv0721,1234
116,Rv1475c,1213
117,Rv0815c,1208
118,Rv3117,1208
119,Rv3774,1202
120,Rv2302,1202
121,Rv1023,1198
122,Rv1441c,1195
123,Rv0577,1191
124,Rv3801c,1182
125,Rv0884c,1174
126,Rv0706,1157
127,Rv2245,1155
128,Rv1174c,1155
129,Rv0055,1151
130,Rv2749,1140
131,Rv1390,1140
132,Rv0580c,1140
133,Rv0761c,1138
134,Rv0979A,1127
135,Rv0710,1126
136,Rv1352,1120
137,Rv3460c,1118
138,Rv0714,1118
139,Rv2465c,1114
140,Rv0952,1112
141,Rv2890c,1110
142,Rv2785c,1106
143,Rv0636,1103
144,Rv0250c,1099
145,Rv0462,1090
146,Rv0632c,1084
147,Rv1466,1082
148,Rv0860,1079
149,Rv1094,1079
150,Rv3442c,1071
151,Rv2626c,1068
152,Rv0066c,1065
153,Rv0701,1052
154,Rv2520c,1038
155,Rv3678c,1035
156,Rv3456c,1025
157,Rv0709,1023
158,Rv3001c,1015
159,Rv2971,1007
160,Rv0705,1002
161,Rv0704,994
162,Rv0715,986
163,Rv3800c,985
164,Rv0243,983
165,Rv0211,974
166,Rv1017c,968
167,Rv2246,968
168,Rv0722,962
169,Rv0707,955
170,Rv0718,950
171,Rv0242c,941
172,Rv1449c,939
173,Rv0148,934
174,Rv0640,919
175,Rv1309,917
176,Rv2699c,912
177,Rv3246c,903
178,Rv3699,899
179,Rv0634B,897
180,Rv3196A,896
181,Rv0285,892
182,Rv1159A,892
183,Rv1626,890
184,Rv1876,885
185,Rv0500,884
186,Rv0824c,873
187,Rv2945c,866
188,Rv0668,860
189,Rv1984c,859
190,Rv1596,856
191,Rv1630,855
192,Rv1843c,854
193,Rv3274c,853
194,Rv2301,849
