,loc_tag,abundance
0,BSU09100,27351
1,BSU21930,26714
2,BSU01050,23401
3,BSU27960,19069
4,BSU35360,18063
5,BSU01290,15191
6,BSU01170,14395
7,BSU37800,12229
8,BSU01210,11929
9,BSU40910,11237
10,BSU15990,9539
11,BSU01180,9105
12,BSU22790,9037
13,BSU01130,8723
14,BSU25550,8625
15,BSU01310,8304
16,BSU38850,8160
17,BSU13900,8051
18,BSU01350,8045
19,BSU01300,8035
20,BSU01160,7635
21,BSU16680,7481
22,BSU01230,6771
23,BSU01280,6704
24,BSU28850,6645
25,BSU33940,6546
26,BSU01270,6269
27,BSU01340,6207
28,BSU31910,6129
29,BSU06020,6045
30,BSU06030,5871
31,BSU16040,5810
32,BSU29660,5658
33,BSU01420,5592
34,BSU27940,5575
35,BSU01110,5553
36,BSU01220,5415
37,BSU25410,5189
38,BSU01330,5163
39,BSU01240,4933
40,BSU01400,4903
41,BSU01030,4862
42,BSU27700,4726
43,BSU40090,4662
44,BSU01320,4616
45,BSU01410,4467
46,BSU28290,4443
47,BSU01260,4287
48,BSU01100,4254
49,BSU29120,4245
50,BSU01200,4226
51,BSU01250,4179
52,BSU40970,4169
53,BSU01020,4126
54,BSU15960,4096
55,BSU16500,4067
56,BSU28230,4020
57,BSU28860,3996
58,BSU01040,3854
59,BSU01440,3847
60,BSU16490,3691
61,BSU37120,3639
62,BSU01490,3578
63,BSU01120,3547
64,BSU33900,3384
65,BSU40890,3282
66,BSU14610,3153
67,BSU36900,3122
68,BSU24900,2997
69,BSU25020,2980
70,BSU29130,2883
71,BSU24620,2863
72,BSU01150,2804
73,BSU15920,2731
74,BSU31390,2703
75,BSU14600,2691
76,BSU29750,2651
77,BSU33920,2651
78,BSU13180,2632
79,BSU01190,2625
80,BSU27320,2618
81,BSU36850,2607
82,BSU25470,2509
83,BSU28500,2482
84,BSU09950,2352
85,BSU13620,2342
86,BSU16090,2264
87,BSU37110,2263
88,BSU02900,2221
89,BSU28870,2221
90,BSU00730,2190
91,BSU06240,2180
92,BSU33930,2165
93,BSU14590,2143
94,BSU22880,2077
95,BSU40900,2053
96,BSU12280,2027
97,BSU07560,1983
98,BSU23980,1962
99,BSU01500,1962
100,BSU16100,1954
101,BSU32730,1889
102,BSU16520,1883
103,BSU17460,1839
104,BSU00110,1828
105,BSU14580,1785
106,BSU04400,1785
107,BSU34540,1745
108,BSU01430,1712
109,BSU15080,1690
110,BSU06460,1689
111,BSU18840,1632
112,BSU35150,1596
113,BSU21540,1595
114,BSU40500,1585
115,BSU19360,1558
116,BSU11850,1533
117,BSU37070,1526
118,BSU30650,1512
119,BSU17890,1508
120,BSU15600,1508
121,BSU25400,1501
122,BSU24450,1478
123,BSU32710,1459
124,BSU17690,1419
125,BSU23070,1404
126,BSU13890,1397
127,BSU24350,1392
128,BSU40550,1365
129,BSU28910,1344
130,BSU32260,1334
131,BSU00370,1325
132,BSU29180,1318
133,BSU00490,1316
134,BSU36810,1308
135,BSU37540,1306
136,BSU14180,1297
137,BSU35310,1284
138,BSU29490,1284
139,BSU08790,1273
140,BSU16750,1272
141,BSU03130,1248
142,BSU38960,1226
143,BSU00090,1222
144,BSU02780,1220
145,BSU14540,1207
146,BSU36830,1207
147,BSU06520,1191
148,BSU28300,1190
149,BSU02850,1168
150,BSU15820,1168
151,BSU11430,1157
152,BSU23860,1155
153,BSU28440,1149
154,BSU11690,1148
155,BSU32700,1146
156,BSU41060,1135
157,BSU02910,1135
158,BSU16330,1124
159,BSU16290,1123
