,loc_tag,abundance
0,MAE_24450,128829
1,MAE_24460,79085
2,MAE_10260,35562
3,MAE_10270,34730
4,MAE_54000,25778
5,MAE_06090,19503
6,MAE_24480,17634
7,MAE_47290,17063
8,MAE_48340,15610
9,MAE_10240,13732
10,MAE_43690,13244
11,MAE_47940,13021
12,MAE_35830,11071
13,MAE_47930,10760
14,MAE_12560,10504
15,MAE_18910,10482
16,MAE_27990,10064
17,MAE_11840,8586
18,MAE_37620,8552
19,MAE_06220,8168
20,MAE_00920,7793
21,MAE_32470,7627
22,MAE_59230,7294
23,MAE_30020,7284
24,MAE_23300,6487
25,MAE_43670,6119
26,MAE_14800,6061
27,MAE_36510,5902
28,MAE_46080,5844
29,MAE_47870,5798
30,MAE_53990,5740
31,MAE_32490,5557
32,MAE_26300,5189
33,MAE_21640,5016
34,MAE_19230,4977
35,MAE_25030,4805
36,MAE_19220,4783
37,MAE_42760,4686
38,MAE_32010,4676
39,MAE_50130,4567
40,MAE_46230,4366
41,MAE_33560,4280
42,MAE_44250,4253
43,MAE_13620,4238
44,MAE_56280,4151
45,MAE_47890,4142
46,MAE_31800,4117
47,MAE_44820,4076
48,MAE_19270,3713
49,MAE_00640,3582
50,MAE_36300,3533
51,MAE_51670,3496
52,MAE_49370,3373
53,MAE_46070,3202
54,MAE_00930,3175
55,MAE_54370,3147
56,MAE_57460,3047
57,MAE_50160,2978
58,MAE_15130,2931
59,MAE_60090,2917
60,MAE_33030,2900
61,MAE_50080,2879
62,MAE_31550,2856
63,MAE_55390,2851
64,MAE_03410,2756
65,MAE_36040,2673
66,MAE_50150,2668
67,MAE_62150,2493
68,MAE_57080,2446
69,MAE_12570,2420
70,MAE_32990,2390
71,MAE_57330,2354
72,MAE_35130,2300
73,MAE_57310,2263
74,MAE_15650,2164
75,MAE_13690,2160
76,MAE_18380,2095
77,MAE_50050,2079
78,MAE_50250,2067
79,MAE_47570,2062
80,MAE_44660,2015
81,MAE_21600,1994
82,MAE_35090,1966
83,MAE_41130,1962
84,MAE_38450,1961
85,MAE_06830,1954
86,MAE_51680,1917
87,MAE_02790,1910
88,MAE_33020,1766
89,MAE_62840,1742
90,MAE_34890,1710
91,MAE_60930,1678
92,MAE_48380,1653
93,MAE_24280,1645
94,MAE_58860,1632
95,MAE_57270,1627
96,MAE_32220,1594
97,MAE_47920,1576
98,MAE_11770,1503
99,MAE_62680,1455
100,MAE_10560,1418
101,MAE_59180,1416
102,MAE_10010,1404
103,MAE_06600,1371
104,MAE_44940,1348
105,MAE_57190,1310
106,MAE_50170,1302
107,MAE_18840,1301
108,MAE_18310,1292
109,MAE_61820,1280
110,MAE_56740,1265
111,MAE_50140,1222
112,MAE_59640,1208
113,MAE_14730,1205
114,MAE_56270,1193
115,MAE_14970,1190
116,MAE_06270,1174
117,MAE_33570,1127
118,MAE_06820,1110
119,MAE_02500,1103
120,MAE_47020,1098
121,MAE_19620,1070
122,MAE_42750,1056
123,MAE_17980,1053
124,MAE_41160,1053
125,MAE_05330,1039
126,MAE_46030,1027
127,MAE_19990,1019
128,MAE_61690,1015
129,MAE_47910,1003
130,MAE_00940,996
131,MAE_52500,981
132,MAE_47530,966
133,MAE_39060,960
134,MAE_41150,916
135,MAE_25340,890
136,MAE_44370,875
137,MAE_57290,874
138,MAE_41630,860
139,MAE_11310,848
140,MAE_51610,829
141,MAE_49860,803
142,MAE_06300,779
143,MAE_09540,761
144,MAE_52320,756
145,MAE_16060,755
146,MAE_36620,752
147,MAE_01820,743
148,MAE_51710,743
149,MAE_45600,739
150,MAE_08250,737
151,MAE_60310,737
152,MAE_45040,728
153,MAE_36690,715
154,MAE_43910,711
155,MAE_62720,699
156,MAE_50390,693
157,MAE_50120,686
158,MAE_47560,685
159,MAE_22040,676
160,MAE_40910,674
161,MAE_53390,674
162,MAE_04620,671
163,MAE_36630,664
164,MAE_15220,654
165,MAE_28420,654
166,MAE_09640,653
167,MAE_09700,646
168,MAE_44650,646
169,MAE_57180,643
170,MAE_57350,639
171,MAE_59170,637
172,MAE_36010,633
173,MAE_45990,631
174,MAE_54380,630
175,MAE_23910,627
176,MAE_06250,618
177,MAE_46700,609
178,MAE_27510,603
179,MAE_27590,598
180,MAE_53690,586
181,MAE_46050,581
182,MAE_07310,580
183,MAE_23900,567
184,MAE_48050,562
185,MAE_19600,557
