,loc_tag,abundance
0,PA1092,18392
1,PA4385,12116
2,PA1777,9281
3,PA4847,7890
4,PA1178,7823
5,PA4265,7731
6,PA4277,7731
7,PA2741,6211
8,PA4525,5902
9,PA4257,5193
10,PA4568,5187
11,PA4239,5068
12,PA5172,4857
13,PA4271,4812
14,PA1609,4786
15,PA4238,4658
16,PA3162,4615
17,PA2623,4549
18,PA5253,4549
19,PA5556,4440
20,PA0579,4213
21,PA4266,4122
22,PA4260,4081
23,PA4236,4047
24,PA4248,4043
25,PA5554,3997
26,PA4267,3944
27,PA4253,3814
28,PA4263,3582
29,PA2853,3550
30,PA4761,3480
31,PA5171,3454
32,PA1804,3380
33,PA4262,3309
34,PA4258,3201
35,PA4315,3156
36,PA4269,3128
37,PA2952,3076
38,PA4270,3059
39,PA3656,3015
40,PA1588,3001
41,PA1587,2980
42,PA5060,2931
43,PA0002,2813
44,PA4251,2794
45,PA1583,2764
46,PA2951,2758
47,PA2491,2747
48,PA2760,2745
49,PA4256,2731
50,PA4934,2726
51,PA4246,2719
52,PA4254,2716
53,PA4250,2688
54,PA4740,2614
55,PA3822,2595
56,PA3742,2594
57,PA4245,2591
58,PA3790,2584
59,PA4432,2583
60,PA4273,2564
61,PA3529,2533
62,PA1586,2524
63,PA0852,2498
64,PA4244,2431
65,PA4221,2413
66,PA4247,2364
67,PA4067,2363
68,PA2967,2338
69,PA1800,2338
70,PA0958,2331
71,PA4935,2326
72,PA5015,2289
73,PA2976,2277
74,PA0139,2272
75,PA5552,2251
76,PA1589,2244
77,PA3655,2198
78,PA3814,2183
79,PA2386,2172
80,PA2667,2163
81,PA0291,2137
82,PA4252,2120
83,PA2494,2111
84,PA5046,2102
85,PA4563,2098
86,PA0546,2089
87,PA1584,2086
88,PA2001,2085
89,PA3745,2083
90,PA4261,2062
91,PA4741,2060
92,PA1337,2057
93,PA4433,2047
94,PA0432,2041
95,PA4694,2033
96,PA4370,2014
97,PA4661,2013
98,PA4671,2006
99,PA1580,1995
100,PA1787,1986
101,PA4274,1970
102,PA5316,1958
103,PA1053,1952
104,PA4944,1950
105,PA3820,1919
106,PA4268,1905
107,PA3309,1898
108,PA4744,1880
109,PA3770,1856
110,PA4670,1850
111,PA1596,1841
112,PA2398,1840
113,PA4237,1824
114,PA1159,1816
115,PA1770,1804
116,PA4431,1789
117,PA2966,1786
118,PA0652,1784
119,PA5013,1778
120,PA1556,1768
121,PA0973,1746
122,PA3821,1745
123,PA0399,1734
124,PA0576,1695
125,PA2493,1694
126,PA4241,1691
127,PA3999,1686
128,PA0070,1673
129,PA3831,1673
130,PA0622,1669
131,PA4941,1667
132,PA0447,1641
133,PA4745,1625
134,PA4942,1616
135,PA0905,1605
136,PA4470,1600
137,PA0865,1597
138,PA0459,1594
139,PA4272,1593
140,PA3001,1588
141,PA3582,1580
142,PA4932,1574
143,PA1553,1565
144,PA0548,1565
145,PA1585,1557
146,PA4429,1554
147,PA5016,1549
148,PA0972,1547
149,PA3617,1546
150,PA0456,1540
151,PA4848,1519
152,PA3244,1510
153,PA4217,1507
154,PA0266,1500
155,PA2249,1496
156,PA4317,1489
157,PA0555,1483
158,PA4386,1478
159,PA0961,1461
160,PA5243,1456
161,PA3158,1443
162,PA1288,1441
163,PA1562,1437
164,PA5558,1433
165,PA5100,1427
166,PA0795,1427
167,PA4352,1426
168,PA5119,1421
169,PA5490,1413
170,PA3637,1410
171,PA0482,1398
172,PA3139,1389
173,PA3645,1386
174,PA5192,1378
175,PA3195,1377
176,PA3807,1370
177,PA5568,1368
178,PA4542,1367
179,PA3159,1357
180,PA3525,1348
181,PA5555,1345
182,PA0265,1341
183,PA4228,1332
184,PA3635,1321
185,PA3014,1318
186,PA0998,1315
187,PA2624,1310
188,PA5131,1308
189,PA0425,1306
190,PA4329,1302
191,PA2553,1289
192,PA5304,1283
193,PA1156,1281
194,PA3584,1277
195,PA2991,1265
196,PA0963,1246
197,PA3262,1245
198,PA2616,1243
199,PA4240,1243
200,PA5049,1241
201,PA3800,1238
202,PA5322,1229
203,PA4406,1222
204,PA4640,1219
205,PA4243,1217
206,PA3299,1217
207,PA0141,1216
208,PA0588,1210
209,PA3068,1209
210,PA1074,1199
211,PA4403,1199
212,PA4675,1186
213,PA0895,1158
214,PA2250,1156
215,PA3168,1156
216,PA3988,1153
217,PA4481,1153
218,PA0595,1130
219,PA4922,1119
220,PA5174,1117
221,PA4450,1116
222,PA4226,1116
223,PA5553,1114
224,PA0316,1111
225,PA4209,1109
226,PA2495,1097
227,PA5173,1093
228,PA0423,1092
229,PA1805,1092
230,PA3194,1092
231,PA2953,1086
232,PA4249,1083
233,PA2015,1081
234,PA4264,1067
235,PA5078,1064
236,PA5312,1052
237,PA2851,1051
238,PA3692,1046
239,PA5044,1039
240,PA0887,1029
241,PA4489,1024
242,PA5239,1019
243,PA4762,1015
244,PA5261,1014
245,PA3570,1012
246,PA0870,1012
247,PA4756,1012
248,PA2008,1007
249,PA1803,1006
250,PA2642,1002
251,PA3581,1002
252,PA1342,990
253,PA4595,989
254,PA0956,988
255,PA4560,985
256,PA2815,979
257,PA3167,978
258,PA3769,965
259,PA1833,959
260,PA4759,959
261,PA2014,959
262,PA0411,957
263,PA2939,952
264,PA0400,950
265,PA1794,943
266,PA0023,939
267,PA2071,926
268,PA5427,925
269,PA2739,922
270,PA2743,922
271,PA1802,921
272,PA2639,921
273,PA4751,918
274,PA0766,916
275,PA2634,915
276,PA3286,912
277,PA2970,904
278,PA4602,902
279,PA2950,900
280,PA3987,897
281,PA4938,896
282,PA3148,895
283,PA5435,891
284,PA3666,890
285,PA2744,886
286,PA5051,882
287,PA3977,881
288,PA3471,881
289,PA4242,880
290,PA3729,878
291,PA0623,875
292,PA5557,875
293,PA4484,871
294,PA0552,869
295,PA3155,869
296,PA2445,866
297,PA4701,858
298,PA0427,857
299,PA2709,856
300,PA1793,856
301,PA4356,855
302,PA4842,855
303,PA4423,853
304,PA2012,850
305,PA2394,848
306,PA0903,847
307,PA2119,846
308,PA4366,845
309,PA2531,845
310,PA3115,843
311,PA0962,842
312,PA2965,839
313,PA4854,837
314,PA5117,835
315,PA3040,825
316,PA4937,822
317,PA4259,820
318,PA0782,817
319,PA2009,816
320,PA4224,814
321,PA4430,814
322,PA3648,806
323,PA0779,804
324,PA3940,803
325,PA0793,802
326,PA4275,799
327,PA3083,797
328,PA3013,795
329,PA5146,789
330,PA5110,787
331,PA3150,787
332,PA3183,785
333,PA5242,785
334,PA3763,785
335,PA3834,780
336,PA3326,778
337,PA3482,775
338,PA5005,773
339,PA4483,769
340,PA2864,765
341,PA1999,763
342,PA4455,763
343,PA0888,762
344,PA0004,762
345,PA0402,760
346,PA0969,757
347,PA2604,752
348,PA4495,752
349,PA3397,751
350,PA3700,747
351,PA0428,747
352,PA3613,746
353,PA3639,743
354,PA5257,737
355,PA4569,731
356,PA3735,727
357,PA4255,726
358,PA3108,726
359,PA5337,725
360,PA3641,723
361,PA4554,722
362,PA2796,722
363,PA0084,720
364,PA4639,716
365,PA4442,715
366,PA3186,712
367,PA0067,712
368,PA2999,708
369,PA2116,702
370,PA5429,701
371,PA4974,701
372,PA1555,697
373,PA2247,693
374,PA2871,693
375,PA2291,688
376,PA0008,687
377,PA0519,684
378,PA5302,683
379,PA0020,681
380,PA5063,680
381,PA4758,679
382,PA2025,676
383,PA4732,675
384,PA4225,674
385,PA0299,671
386,PA0426,669
387,PA0849,667
388,PA4222,666
389,PA3038,663
390,PA4333,656
391,PA2990,654
392,PA4218,654
393,PA0904,654
394,PA5413,653
395,PA4407,652
396,PA5436,652
397,PA4448,651
398,PA0745,650
399,PA4964,650
400,PA3751,649
401,PA1838,648
402,PA3686,644
403,PA5373,641
404,PA4232,640
405,PA2641,636
406,PA3644,634
407,PA0396,632
408,PA5258,632
409,PA3654,631
410,PA3031,630
411,PA4749,630
412,PA3614,629
413,PA0292,622
414,PA3117,618
415,PA0534,616
416,PA3801,615
417,PA3247,612
418,PA4567,607
419,PA3011,607
420,PA3629,606
421,PA3481,606
422,PA1750,602
423,PA4408,601
424,PA5232,600
425,PA2290,600
426,PA1767,597
427,PA0434,591
428,PA3647,590
429,PA5040,590
430,PA2813,590
431,PA5128,589
432,PA4411,587
433,PA5549,587
434,PA1610,586
435,PA2302,585
436,PA4223,584
437,PA0523,583
438,PA2629,579
439,PA0901,577
440,PA0401,574
441,PA0999,572
442,PA4614,571
443,PA4747,565
444,PA0537,565
445,PA0353,564
446,PA1293,563
447,PA0102,563
448,PA0792,563
449,PA4959,562
450,PA2300,560
451,PA1557,558
452,PA0660,557
453,PA5112,556
454,PA3190,555
455,PA1202,553
456,PA0835,553
457,PA5038,552
458,PA4760,550
459,PA5224,549
460,PA0833,549
461,PA4491,546
462,PA1011,545
463,PA1546,545
464,PA1372,541
465,PA0662,541
466,PA4133,541
467,PA3716,540
468,PA3615,540
469,PA1080,539
470,PA2392,537
471,PA2831,537
472,PA3687,536
473,PA2638,532
474,PA0943,528
475,PA4855,528
476,PA0997,527
477,PA0934,527
478,PA5240,526
479,PA3723,526
480,PA2620,526
481,PA3022,525
482,PA2413,522
483,PA5054,522
484,PA3328,522
485,PA0848,521
486,PA5493,520
487,PA3653,519
488,PA4022,518
489,PA5215,516
490,PA2399,515
491,PA1013,512
492,PA5339,512
493,PA3112,511
494,PA0085,510
495,PA3256,510
496,PA5277,510
497,PA4729,509
498,PA3799,508
499,PA4402,508
500,PA5080,508
501,PA3848,507
502,PA4710,507
503,PA3327,507
504,PA1905,503
505,PA4190,502
506,PA4216,501
507,PA4576,500
508,PA1552,499
509,PA4561,497
510,PA1528,496
511,PA2994,495
512,PA2973,494
513,PA0794,493
514,PA3187,493
515,PA5332,491
516,PA1010,490
517,PA4454,489
518,PA4054,489
519,PA3134,488
520,PA5331,487
521,PA2033,487
522,PA1754,483
523,PA4519,483
524,PA0413,481
525,PA4441,481
526,PA3537,480
527,PA4755,478
528,PA2023,478
529,PA5300,478
530,PA1493,476
531,PA2147,475
532,PA3263,474
533,PA4322,474
534,PA4468,472
535,PA3452,471
536,PA1709,471
537,PA3602,465
538,PA3107,463
539,PA0604,462
540,PA1801,461
541,PA5134,461
542,PA5163,460
543,PA4957,460
544,PA1179,458
545,PA4234,458
546,PA0506,457
547,PA2248,457
548,PA0594,456
549,PA0302,456
550,PA1339,456
551,PA0768,456
552,PA0746,454
553,PA4727,454
554,PA3636,454
555,PA1795,453
556,PA2003,453
557,PA3050,453
558,PA0100,452
559,PA2330,452
560,PA3731,451
561,PA2735,450
562,PA5161,450
563,PA2235,450
564,PA1574,450
565,PA5077,448
566,PA2968,447
567,PA3392,446
568,PA5334,446
569,PA4310,445
570,PA2424,444
571,PA1458,444
572,PA1135,443
573,PA5001,443
574,PA4907,441
575,PA0896,441
576,PA4053,440
577,PA0897,438
578,PA4812,438
579,PA4606,435
580,PA5560,433
581,PA3160,433
582,PA4389,432
583,PA5043,431
584,PA4526,430
585,PA5045,429
586,PA0867,429
587,PA0668,429
588,PA5263,429
589,PA0024,427
590,PA1789,427
591,PA3126,427
592,PA5497,426
593,PA0395,426
594,PA0836,425
595,PA4372,424
596,PA4206,424
597,PA4439,424
598,PA5528,423
599,PA4400,423
600,PA3804,422
601,PA2740,422
602,PA5422,422
603,PA3330,421
604,PA5150,420
605,PA3308,420
606,PA0446,419
607,PA0009,419
608,PA2983,418
609,PA1796,418
610,PA0328,417
611,PA5178,416
612,PA3736,416
613,PA3984,415
614,PA3331,413
615,PA0140,412
616,PA2407,411
617,PA0130,410
618,PA3970,410
619,PA2644,410
620,PA4199,410
621,PA1582,407
622,PA3042,407
623,PA3141,405
624,PA3724,405
625,PA3081,404
626,PA1041,404
627,PA2397,404
628,PA3171,403
629,PA3466,403
630,PA2532,403
631,PA3972,402
632,PA0854,402
633,PA4920,400
634,PA0090,400
635,PA1532,397
636,PA3792,396
637,PA2197,396
638,PA5201,395
639,PA4739,395
640,PA4673,395
641,PA4131,395
642,PA1706,393
643,PA2194,393
644,PA3922,392
645,PA2979,391
646,PA3349,389
647,PA2770,387
648,PA3408,387
649,PA4207,387
650,PA4538,385
651,PA2788,384
652,PA0767,383
653,PA2612,383
