#id: 1492202704
#name: B.subtilis - Whole organism (Integrated)
#score: 13.3
#description: integrated dataset: weighted average of all B.subtilis WHOLE_ORGANISM, Interaction consistency score: 13.3, Coverage: 96
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 96
#publication_year: 2021
#filename: 224308-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
11135503	224308.BSU09100	27351
11136827	224308.BSU21930	26714
11134686	224308.BSU01050	23401
11137439	224308.BSU27960	19069
11138187	224308.BSU35360	18063
11134710	224308.BSU01290	15191
11134698	224308.BSU01170	14395
11138432	224308.BSU37800	12229
11134702	224308.BSU01210	11929
11138750	224308.BSU40910	11237
11136214	224308.BSU15990	9539
11134699	224308.BSU01180	9105
11136915	224308.BSU22790	9037
11134694	224308.BSU01130	8723
11137195	224308.BSU25550	8625
11134712	224308.BSU01310	8304
11138539	224308.BSU38850	8160
11135999	224308.BSU13900	8051
11134716	224308.BSU01350	8045
11134711	224308.BSU01300	8035
11134697	224308.BSU01160	7635
11136284	224308.BSU16680	7481
11134704	224308.BSU01230	6771
11134709	224308.BSU01280	6704
11137528	224308.BSU28850	6645
11138045	224308.BSU33940	6546
11134708	224308.BSU01270	6269
11134715	224308.BSU01340	6207
11137835	224308.BSU31910	6129
11135195	224308.BSU06020	6045
11135196	224308.BSU06030	5871
11136219	224308.BSU16040	5810
11137610	224308.BSU29660	5658
11134724	224308.BSU01420	5592
11137437	224308.BSU27940	5575
11134692	224308.BSU01110	5553
11134703	224308.BSU01220	5415
11137181	224308.BSU25410	5189
11134714	224308.BSU01330	5163
11134705	224308.BSU01240	4933
11134722	224308.BSU01400	4903
11134684	224308.BSU01030	4862
11137411	224308.BSU27700	4726
11138664	224308.BSU40090	4662
11134713	224308.BSU01320	4616
11134723	224308.BSU01410	4467
11137473	224308.BSU28290	4443
11134707	224308.BSU01260	4287
11134691	224308.BSU01100	4254
11137554	224308.BSU29120	4245
11134701	224308.BSU01200	4226
11134706	224308.BSU01250	4179
11138757	224308.BSU40970	4169
11134683	224308.BSU01020	4126
11136211	224308.BSU15960	4096
11136266	224308.BSU16500	4067
11137467	224308.BSU28230	4020
11137529	224308.BSU28860	3996
11134685	224308.BSU01040	3854
11134726	224308.BSU01440	3847
11136265	224308.BSU16490	3691
11138364	224308.BSU37120	3639
11134731	224308.BSU01490	3578
11134693	224308.BSU01120	3547
11138041	224308.BSU33900	3384
11138748	224308.BSU40890	3282
11136074	224308.BSU14610	3153
11138341	224308.BSU36900	3122
11137129	224308.BSU24900	2997
11137141	224308.BSU25020	2980
11137555	224308.BSU29130	2883
11137101	224308.BSU24620	2863
11134696	224308.BSU01150	2804
11136207	224308.BSU15920	2731
11137784	224308.BSU31390	2703
11136073	224308.BSU14600	2691
11137619	224308.BSU29750	2651
11138043	224308.BSU33920	2651
11135923	224308.BSU13180	2632
11134700	224308.BSU01190	2625
11137371	224308.BSU27320	2618
11138336	224308.BSU36850	2607
11137187	224308.BSU25470	2509
11137493	224308.BSU28500	2482
11135586	224308.BSU09950	2352
11135968	224308.BSU13620	2342
11136224	224308.BSU16090	2264
11138363	224308.BSU37110	2263
11134871	224308.BSU02900	2221
11137530	224308.BSU28870	2221
11134654	224308.BSU00730	2190
11135216	224308.BSU06240	2180
11138044	224308.BSU33930	2165
11136072	224308.BSU14590	2143
11136926	224308.BSU22880	2077
11138749	224308.BSU40900	2053
11135826	224308.BSU12280	2027
11135349	224308.BSU07560	1983
11137037	224308.BSU23980	1962
11134732	224308.BSU01500	1962
11136225	224308.BSU16100	1954
11137920	224308.BSU32730	1889
11136268	224308.BSU16520	1883
11136359	224308.BSU17460	1839
11134592	224308.BSU00110	1828
11136071	224308.BSU14580	1785
11135026	224308.BSU04400	1785
11138104	224308.BSU34540	1745
11134725	224308.BSU01430	1712
11136123	224308.BSU15080	1690
