#id: 4146582079
#name: E.coli - Whole organism (Integrated)
#score: 24.69
#description: integrated dataset: weighted average of all E.coli WHOLE_ORGANISM, Interaction consistency score: 24.69, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
15202436	511145.b3495	82534
15200926	511145.b1823	20756
15202291	511145.b3339	18554
15200882	511145.b1779	10826
15199816	511145.b0623	8479
15199649	511145.b0440	8071
15200600	511145.b1480	7964
15202255	511145.b3303	7827
15199264	511145.b0014	7739
15202874	511145.b3986	7251
15203021	511145.b4142	7090
15201250	511145.b2185	6986
15202868	511145.b3980	6977
15200382	511145.b1237	6598
15201164	511145.b2093	6165
15202201	511145.b3236	5899
15201921	511145.b2926	5473
15202699	511145.b3783	5381
15202899	511145.b4015	5355
15202808	511145.b3908	5351
15202293	511145.b3341	5229
15201596	511145.b2551	5061
15201791	511145.b2779	4875
15202888	511145.b4000	4713
15199413	511145.b0170	4429
15199922	511145.b0755	4418
15200545	511145.b1415	4380
15201686	511145.b2665	4372
15203114	511145.b4243	4367
15202403	511145.b3460	4181
15202661	511145.b3732	4179
15202267	511145.b3315	4144
15202268	511145.b3316	4012
15202826	511145.b3928	3986
15199799	511145.b0605	3973
15202250	511145.b3298	3910
15200783	511145.b1677	3837
15199616	511145.b0407	3808
15202261	511145.b3309	3714
15202262	511145.b3310	3704
15202260	511145.b3308	3659
15200122	511145.b0957	3585
15202817	511145.b3919	3506
15202042	511145.b3065	3445
15203048	511145.b4172	3419
15200250	511145.b1094	3392
15203022	511145.b4143	3365
15199645	511145.b0436	3311
15200068	511145.b0903	3290
15201167	511145.b2096	3276
15201017	511145.b1920	3252
15203079	511145.b4203	3213
15201459	511145.b2414	3194
15201920	511145.b2925	3189
15202248	511145.b3296	3180
15201215	511145.b2150	3179
15202574	511145.b3637	3159
15201462	511145.b2417	3147
15199358	511145.b0114	3137
15202272	511145.b3320	3097
15199979	511145.b0812	3074
15199272	511145.b0023	3074
15203076	511145.b4200	3003
15203078	511145.b4202	2997
15202292	511145.b3340	2991
15201166	511145.b2095	2988
15200245	511145.b1089	2969
15199978	511145.b0811	2964
15200292	511145.b1136	2962
15202585	511145.b3649	2903
15202254	511145.b3302	2860
15201648	511145.b2609	2848
15202253	511145.b3301	2809
15199359	511145.b0115	2808
15202266	511145.b3314	2805
15202273	511145.b3321	2801
15199412	511145.b0169	2791
15201369	511145.b2310	2782
15202873	511145.b3985	2752
15202196	511145.b3231	2724
