#id: 1929149134
#name: M.tuberculosis - Whole organism (Integrated)
#score: 14.09
#description: integrated dataset: weighted average of all M.tuberculosis WHOLE_ORGANISM, Interaction consistency score: 14.09, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 85
#publication_year: 2021
#filename: 83332-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
8819405	83332.Rv2031c	139000
8820839	83332.Rv3418c	107511
8817775	83332.Rv0440	36903
8821302	83332.Rv3874	16583
8821342	83332.Rv3914	13705
8817999	83332.Rv0652	11194
8820774	83332.Rv3354	10674
8819625	83332.Rv2244	9529
8817684	83332.Rv0350	8951
8818032	83332.Rv0685	7066
8819228	83332.Rv1860	6874
8819765	83332.Rv2376c	6198
8819295	83332.Rv1926c	4233
8818490	83332.Rv1133c	4079
8818166	83332.Rv0814c	3967
8820528	83332.Rv3118	3967
8821070	83332.Rv3648c	3927
8820436	83332.Rv3028c	3894
8819522	83332.Rv2145c	3863
8821189	83332.Rv3763	3773
8817454	83332.Rv0125	3522
8818286	83332.Rv0934	3461
8819599	83332.Rv2220	3412
8819254	83332.Rv1886c	3241
8820144	83332.Rv2744c	3210
8821303	83332.Rv3875	3169
8817713	83332.Rv0379	3138
8820180	83332.Rv2780	3070
8817813	83332.Rv0475	3027
8820666	83332.Rv3248c	2937
8819195	83332.Rv1827	2919
8821232	83332.Rv3804c	2873
8818536	83332.Rv1177	2666
8819487	83332.Rv2111c	2630
8820392	83332.Rv2986c	2624
8819003	83332.Rv1636	2621
8818862	83332.Rv1498A	2600
8821274	83332.Rv3846	2600
8818750	83332.Rv1388	2599
8821141	83332.Rv3716c	2364
8820437	83332.Rv3029c	2325
8821269	83332.Rv3841	2271
8821100	83332.Rv3678A	2196
8819351	83332.Rv1980c	2174
8818030	83332.Rv0683	2172
8820022	83332.Rv2623	2158
8817335	83332.Rv0009	2135
8820687	83332.Rv3269	2133
8820031	83332.Rv2632c	2122
8820878	83332.Rv3457c	2113
8819301	83332.Rv1932	2094
8819240	83332.Rv1872c	2032
8820307	83332.Rv2904c	2028
8818570	83332.Rv1211	2018
8819593	83332.Rv2215	1968
8819516	83332.Rv2140c	1965
8818248	83332.Rv0896	1936
8819536	83332.Rv2159c	1930
8818668	83332.Rv1308	1898
8818670	83332.Rv1310	1882
8817612	83332.Rv0278c	1878
8818754	83332.Rv1392	1829
8819107	83332.Rv1738	1824
8818082	83332.Rv0733	1820
8820292	83332.Rv2889c	1815
8817380	83332.Rv0054	1807
8817697	83332.Rv0363c	1800
8818773	83332.Rv1411c	1736
8818051	83332.Rv0703	1731
8820879	83332.Rv3458c	1726
8818185	83332.Rv0833	1701
8817379	83332.Rv0053	1697
8818428	83332.Rv1074c	1684
8821277	83332.Rv3849	1674
8819787	83332.Rv2396	1660
8821231	83332.Rv3803c	1647
8819277	83332.Rv1908c	1628
8820454	83332.Rv3045	1620
8821050	83332.Rv3628	1607
8819855	83332.Rv2461c	1580
8820640	83332.Rv3224	1574
8820882	83332.Rv3461c	1560
8820838	83332.Rv3417c	1533
8817458	83332.Rv0129c	1518
8821019	83332.Rv3597c	1505
8818454	83332.Rv1098c	1493
8820285	83332.Rv2882c	1486
8818056	83332.Rv0708	1483
8818629	83332.Rv1270c	1483
8821014	83332.Rv3592	1465
8818842	83332.Rv1479	1435
8820312	83332.Rv2909c	1435
8819205	83332.Rv1837c	1432
8820809	83332.Rv3389c	1411
8820278	83332.Rv2875	1410
8817685	83332.Rv0351	1406
8817649	83332.Rv0315	1401
8817767	83332.Rv0432	1399
8819563	83332.Rv2185c	1394
8818434	83332.Rv1080c	1386
8817346	83332.Rv0020c	1363
8818798	83332.Rv1436	1346
8818067	83332.Rv0719	1341
8817911	83332.Rv0569	1328
8820624	83332.Rv3208A	1322
8819101	83332.Rv1732c	1319
8818183	83332.Rv0831c	1308
8818064	83332.Rv0716	1300
8821293	83332.Rv3865	1284
8820730	83332.Rv3312A	1280
8818810	83332.Rv1448c	1276
8818302	83332.Rv0951	1273
8820703	83332.Rv3285	1271
8819836	83332.Rv2442c	1268
8819186	83332.Rv1818c	1241
8818069	83332.Rv0721	1234
8818838	83332.Rv1475c	1213
8818167	83332.Rv0815c	1208
8820527	83332.Rv3117	1208
8821202	83332.Rv3774	1202
8819685	83332.Rv2302	1202
8818376	83332.Rv1023	1198
8818803	83332.Rv1441c	1195
8817919	83332.Rv0577	1191
8821229	83332.Rv3801c	1182
8818236	83332.Rv0884c	1174
8818054	83332.Rv0706	1157
8819626	83332.Rv2245	1155
8818533	83332.Rv1174c	1155
8817381	83332.Rv0055	1151
8820149	83332.Rv2749	1140
8818752	83332.Rv1390	1140
8817922	83332.Rv0580c	1140
8818112	83332.Rv0761c	1138
8818331	83332.Rv0979A	1127
8818058	83332.Rv0710	1126
8818713	83332.Rv1352	1120
8820881	83332.Rv3460c	1118
8818062	83332.Rv0714	1118
8819859	83332.Rv2465c	1114
8818303	83332.Rv0952	1112
8820293	83332.Rv2890c	1110
8820185	83332.Rv2785c	1106
8817983	83332.Rv0636	1103
8817583	83332.Rv0250c	1099
8817799	83332.Rv0462	1090
8817977	83332.Rv0632c	1084
8818828	83332.Rv1466	1082
8818212	83332.Rv0860	1079
8818450	83332.Rv1094	1079
8820863	83332.Rv3442c	1071
8820025	83332.Rv2626c	1068
8817393	83332.Rv0066c	1065
8818049	83332.Rv0701	1052
8819915	83332.Rv2520c	1038
8821101	83332.Rv3678c	1035
8820877	83332.Rv3456c	1025
8818057	83332.Rv0709	1023
8820408	83332.Rv3001c	1015
8820377	83332.Rv2971	1007
8818053	83332.Rv0705	1002
8818052	83332.Rv0704	994
8818063	83332.Rv0715	986
8821228	83332.Rv3800c	985
8817576	83332.Rv0243	983
8817543	83332.Rv0211	974
8818370	83332.Rv1017c	968
8819627	83332.Rv2246	968
8818070	83332.Rv0722	962
8818055	83332.Rv0707	955
8818066	83332.Rv0718	950
8817575	83332.Rv0242c	941
8818811	83332.Rv1449c	939
8817477	83332.Rv0148	934
8817987	83332.Rv0640	919
8818669	83332.Rv1309	917
8820098	83332.Rv2699c	912
8820664	83332.Rv3246c	903
8821123	83332.Rv3699	899
8817980	83332.Rv0634B	897
8820609	83332.Rv3196A	896
8817619	83332.Rv0285	892
8818518	83332.Rv1159A	892
8818993	83332.Rv1626	890
8819244	83332.Rv1876	885
8817839	83332.Rv0500	884
8818176	83332.Rv0824c	873
8820350	83332.Rv2945c	866
8818015	83332.Rv0668	860
8819356	83332.Rv1984c	859
8818963	83332.Rv1596	856
8818997	83332.Rv1630	855
8819211	83332.Rv1843c	854
8820692	83332.Rv3274c	853
8819684	83332.Rv2301	849
8821098	83332.Rv3676	844
8819589	83332.Rv2211c	842
8820701	83332.Rv3283	841
8817908	83332.Rv0566c	826
8819582	83332.Rv2204c	824
8820445	83332.Rv3036c	822
8818643	83332.Rv1284	821
8817675	83332.Rv0341	805
8817804	83332.Rv0467	804
8819839	83332.Rv2445c	802
8819735	83332.Rv2346c	800
8818449	83332.Rv1093	792
8820402	83332.Rv2996c	787
8820698	83332.Rv3280	786
8819835	83332.Rv2441c	783
8820455	83332.Rv3046c	782
8819288	83332.Rv1919c	782
8818050	83332.Rv0702	781
8819854	83332.Rv2460c	780
8818658	83332.Rv1298	779
8818211	83332.Rv0859	779
8821143	83332.Rv3718c	774
8817581	83332.Rv0248c	771
8820183	83332.Rv2783c	770
8820883	83332.Rv3462c	766
8819622	83332.Rv2241	762
8819580	83332.Rv2202c	759
8820281	83332.Rv2878c	756
8818851	83332.Rv1488	756
8821309	83332.Rv3881c	753
8817621	83332.Rv0287	746
8818087	83332.Rv0738	746
8818014	83332.Rv0667	742
8820233	83332.Rv2831	741
8817517	83332.Rv0186A	734
8817988	83332.Rv0641	734
8820001	83332.Rv2603c	729
8820311	83332.Rv2908c	723
8820374	83332.Rv2969c	723
8820910	83332.Rv3489	723
8821308	83332.Rv3880c	723
8820110	83332.Rv2711	722
8818557	83332.Rv1198	717
8819004	83332.Rv1637c	713
8817580	83332.Rv0247c	711
8818599	83332.Rv1240	711
8820484	83332.Rv3075c	709
8818150	83332.Rv0798c	707
8818560	83332.Rv1201c	702
8817998	83332.Rv0651	702
8818284	83332.Rv0932c	699
8817370	83332.Rv0044c	695
8818031	83332.Rv0684	695
8817982	83332.Rv0635	689
8817513	83332.Rv0183	689
8821006	83332.Rv3584	688
8820401	83332.Rv2995c	687
8818071	83332.Rv0723	680
8819262	83332.Rv1893	676
8819485	83332.Rv2109c	675
8817805	83332.Rv0468	672
8818432	83332.Rv1078	672
8819014	83332.Rv1646	671
8817718	83332.Rv0384c	668
8819861	83332.Rv2467	668
8819679	83332.Rv2296	667
8819486	83332.Rv2110c	666
8818391	83332.Rv1037c	666
8821041	83332.Rv3619c	666
8821295	83332.Rv3867	663
8818925	83332.Rv1558	656
8821091	83332.Rv3669	654
8817989	83332.Rv0642c	654
8818368	83332.Rv1015c	653
8818277	83332.Rv0925c	652
8820864	83332.Rv3443c	651
8819954	83332.Rv2557	650
8817494	83332.Rv0164	638
8819640	83332.Rv2258c	635
8818620	83332.Rv1261c	632
8820930	83332.Rv3509c	631
8820982	83332.Rv3561	628
8817584	83332.Rv0251c	627
8818337	83332.Rv0984	622
8817622	83332.Rv0288	621
8820572	83332.Rv3161c	621
8820357	83332.Rv2952	621
