#id: 1947152051
#name: P.aeruginosa - Whole organism (Integrated)
#score: 24.07
#description: integrated dataset: weighted average of all P.aeruginosa WHOLE_ORGANISM, Interaction consistency score: 24.07, Coverage: 74
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 74
#publication_year: 2021
#filename: 208964-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
63148209	208964.PA1092	18392
63151502	208964.PA4385	12116
63148896	208964.PA1777	9281
63151962	208964.PA4847	7890
63148295	208964.PA1178	7823
63151382	208964.PA4265	7731
63151394	208964.PA4277	7731
63149859	208964.PA2741	6211
63151642	208964.PA4525	5902
63151374	208964.PA4257	5193
63151684	208964.PA4568	5187
63151356	208964.PA4239	5068
63152287	208964.PA5172	4857
63151388	208964.PA4271	4812
63148728	208964.PA1609	4786
63151355	208964.PA4238	4658
63150280	208964.PA3162	4615
63149741	208964.PA2623	4549
63152368	208964.PA5253	4549
63152672	208964.PA5556	4440
63147696	208964.PA0579	4213
63151383	208964.PA4266	4122
63151377	208964.PA4260	4081
63151353	208964.PA4236	4047
63151365	208964.PA4248	4043
63152670	208964.PA5554	3997
63151384	208964.PA4267	3944
63151370	208964.PA4253	3814
63151380	208964.PA4263	3582
63149971	208964.PA2853	3550
63151876	208964.PA4761	3480
63152286	208964.PA5171	3454
63148923	208964.PA1804	3380
63151379	208964.PA4262	3309
63151375	208964.PA4258	3201
63151432	208964.PA4315	3156
63151386	208964.PA4269	3128
63150070	208964.PA2952	3076
63151387	208964.PA4270	3059
63150773	208964.PA3656	3015
63148707	208964.PA1588	3001
63148706	208964.PA1587	2980
63152175	208964.PA5060	2931
63147117	208964.PA0002	2813
63151368	208964.PA4251	2794
63148702	208964.PA1583	2764
63150069	208964.PA2951	2758
63149609	208964.PA2491	2747
63149878	208964.PA2760	2745
63151373	208964.PA4256	2731
63152049	208964.PA4934	2726
63151363	208964.PA4246	2719
63151371	208964.PA4254	2716
63151367	208964.PA4250	2688
63151855	208964.PA4740	2614
63150939	208964.PA3822	2595
63150859	208964.PA3742	2594
63151362	208964.PA4245	2591
63150907	208964.PA3790	2584
63151549	208964.PA4432	2583
63151390	208964.PA4273	2564
63150646	208964.PA3529	2533
63148705	208964.PA1586	2524
63147969	208964.PA0852	2498
63151361	208964.PA4244	2431
63151338	208964.PA4221	2413
63151364	208964.PA4247	2364
63151184	208964.PA4067	2363
63150085	208964.PA2967	2338
63148919	208964.PA1800	2338
63148075	208964.PA0958	2331
63152050	208964.PA4935	2326
63152130	208964.PA5015	2289
63150094	208964.PA2976	2277
63147254	208964.PA0139	2272
63152668	208964.PA5552	2251
63148708	208964.PA1589	2244
63150772	208964.PA3655	2198
63150931	208964.PA3814	2183
63149505	208964.PA2386	2172
63149785	208964.PA2667	2163
63147407	208964.PA0291	2137
63151369	208964.PA4252	2120
63149612	208964.PA2494	2111
63152161	208964.PA5046	2102
63151679	208964.PA4563	2098
63147663	208964.PA0546	2089
63148703	208964.PA1584	2086
63149120	208964.PA2001	2085
63150862	208964.PA3745	2083
63151378	208964.PA4261	2062
63151856	208964.PA4741	2060
63148454	208964.PA1337	2057
63151550	208964.PA4433	2047
63147548	208964.PA0432	2041
63151808	208964.PA4694	2033
63151487	208964.PA4370	2014
63151776	208964.PA4661	2013
63151786	208964.PA4671	2006
63148699	208964.PA1580	1995
63148906	208964.PA1787	1986
63151391	208964.PA4274	1970
63152431	208964.PA5316	1958
63148170	208964.PA1053	1952
63152059	208964.PA4944	1950
63150937	208964.PA3820	1919
63151385	208964.PA4268	1905
63150426	208964.PA3309	1898
63151859	208964.PA4744	1880
63150887	208964.PA3770	1856
63151785	208964.PA4670	1850
63148715	208964.PA1596	1841
63149517	208964.PA2398	1840
63151354	208964.PA4237	1824
63148276	208964.PA1159	1816
63148889	208964.PA1770	1804
63151548	208964.PA4431	1789
63150084	208964.PA2966	1786
63147769	208964.PA0652	1784
63152128	208964.PA5013	1778
