#id: 2433434149
#name: M.aeruginosa - Whole organism (Integrated)
#score: 4.04
#description: integrated dataset: weighted average of all M.aeruginosa WHOLE_ORGANISM, Interaction consistency score: 4.04, Coverage: 79
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 79
#publication_year: 2021
#filename: 449447-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
14502070	449447.MAE_24450	128829
14502071	449447.MAE_24460	79085
14500651	449447.MAE_10260	35562
14500652	449447.MAE_10270	34730
14505026	449447.MAE_54000	25778
14500235	449447.MAE_06090	19503
14502073	449447.MAE_24480	17634
14504354	449447.MAE_47290	17063
14504459	449447.MAE_48340	15610
14500649	449447.MAE_10240	13732
14503992	449447.MAE_43690	13244
14504419	449447.MAE_47940	13021
14503206	449447.MAE_35830	11071
14504418	449447.MAE_47930	10760
14500881	449447.MAE_12560	10504
14501516	449447.MAE_18910	10482
14502425	449447.MAE_27990	10064
14500809	449447.MAE_11840	8586
14503385	449447.MAE_37620	8552
14500248	449447.MAE_06220	8168
14499718	449447.MAE_00920	7793
14502871	449447.MAE_32470	7627
14505549	449447.MAE_59230	7294
14502626	449447.MAE_30020	7284
14501955	449447.MAE_23300	6487
14503990	449447.MAE_43670	6119
14501105	449447.MAE_14800	6061
14503274	449447.MAE_36510	5902
14504231	449447.MAE_46080	5844
14504412	449447.MAE_47870	5798
14505025	449447.MAE_53990	5740
14502873	449447.MAE_32490	5557
14502256	449447.MAE_26300	5189
14501789	449447.MAE_21640	5016
14501548	449447.MAE_19230	4977
14502128	449447.MAE_25030	4805
14501547	449447.MAE_19220	4783
14503899	449447.MAE_42760	4686
14502825	449447.MAE_32010	4676
14504638	449447.MAE_50130	4567
14504246	449447.MAE_46230	4366
14502978	449447.MAE_33560	4280
14504048	449447.MAE_44250	4253
14500987	449447.MAE_13620	4238
14505253	449447.MAE_56280	4151
14504414	449447.MAE_47890	4142
14502804	449447.MAE_31800	4117
14504105	449447.MAE_44820	4076
14501552	449447.MAE_19270	3713
14499690	449447.MAE_00640	3582
14503253	449447.MAE_36300	3533
